Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Image URL,Activities,Source
Ambedkar Aur Gandhi,,,,,Rajesh Kumar,"Kumar, Rajesh",,,,,,Vani Prakashan,,,2019,,,,Comics & Graphic Novels,"गाँधी व अम्बेडकर के जीवन दर्शन के कई पक्ष अभी भी अछूते हैं, उन्हें बेहिचक लाने की ज़रूरत है। -मुद्राराक्षस इस सम्पूर्ण नाटक में गाँधी एक राजनीतिक व्यक्ति के बजाय अछूत समस्या का समाधान एक सन्त या महात्मा की तरह करते हुए दिखाई पड़ते हैं जब कि अम्बेडकर इस प्रश्न को धार देकर अपने संघर्ष को देश की आज़ादी के बजाय दलित मुक्ति की ओर ज़ोरदार ढंग से मोड़ देते हैं। -सुधीर विद्यार्थी, हंस रंगमंच पर इतिहास के दो बड़े नायकों को ज्वलन्त सामाजिक सवालों पर संवाद करते, समस्याओं से भरे इतिहास के उस जटिल दौर में आगे की राह तलाशते तथा वैचारिक रूप से गुत्थम-गुत्था होते देखना एक नया अनुभव है। -कौशल किशोर",,,,,,,,,,,88,,,,,295 ,Hindi,,,,,,9789352294510,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:16:19.998651027,,,,,,,CdmrDwAAQBAJ,Hindi,0,0,,,,bookbuddy
Apane kheta meṃ--,,,,,Nāgārjuna,Nāgārjuna,,,,,,Vani Prakashan,,,1997,,,,,,,,,,,,,,,,63,,,,, 175.00,Hindi,,,PK2098.M46 A88 1997,98901985,,9788170555728,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:18:04.014997959,,,,,,,VrRXvd5pQlAC,Hindi,0,0,,,,bookbuddy
Apane kheta me,,,,,Nāgārjuna,Nāgārjuna,,,,,,Vani Prakashan,,,1997,,,,,,,,,,,,,,,,63,,,,, 175.00,Hindi,,,PK2098.M46 A88 1997,98901985,,9788170555728,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:18:40.963297963,,,,,,,VrRXvd5pQlAC,Hindi,0,0,,,,bookbuddy
Ghazal Gaon,,,,,Munawwar Rana,"Rana, Munawwar",,,,,,Vani Prakashan,,2010/10/01,2010,,,,,,,,,,,,,,,,84,,,,, 150.00,Hindi,,,,,,9788181439796,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:24:57.113021969,,,,,,,W9xbg0AFnP8C,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/95547ABC-6857-4DC1-ACF1-733B61AACDD2,,bookbuddy
Subha-Bak̲h̲aira Zindagī,,,,,Amīra Imāma,"Imāma, Amīra",,,,,,Rek̲h̲tā Buksa,,,2018,,,,,,,,,,,,,,,,142,,,,, 199.00,,,,MLCSA 2019/51081 (P),2019329741,,9788193440933,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:31:45.116873979,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/225C94B1-25DF-4DDC-8A77-1F907B3A50F1,,bookbuddy
Abhigyan Shakuntal,,,,,Kalidas,Kalidas,,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,116,,,,, 155.00,Hindi,,,,,,9788170287735,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:33:28.522750020,,,,,,,L2_g7ShQaekC,Hindi,0,0,,,,bookbuddy
Paṇḍavānī,,Mahābhārata kī eka loka nāṭya śailī,,,Nirañjana Mahāvara,"Mahāvara, Nirañjana",,,,,,,,,,,,,,,,,,,,,,,,,115,,,,, 500.00,,,,,,,9788183616782,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:34:25.475088953,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/818361678X.01Z.jpg,,bookbuddy
Kavve Aur Kala Pani,,,,,Nirmal Verma,"Verma, Nirmal",,,,,,Vani Prakashan,,2020/05/04,2020,,,,Literary Criticism,"निर्मल वर्मा के भाव-बोध में एक खुलापन निश्चय ही है-न केवल ‘रिश्तों की लहूलुहान पीड़ा’ के प्रति, बल्कि मनुष्य के उस अनुभव और उस वृत्ति के प्रति भी, जो उसे ‘जिन्दगी के मतलब की खोज’ में प्रवृत्त करती है। उनके जीवन-बोध में दोनों स्थितियों और वृत्तियों के लिए गुंजाइश निकल आती है और यह ‘रिश्तों की उस लहूलुहान पीड़ा’ के एकाग्र अनुभव और आकलन का अनिवार्य प्रतिफलन है...तब इन कहानियों का अनिवार्य सम्बन्ध न केवल मानव-व्यक्तियों की मूलभूत आस्तित्विक वेदनाओं से हमें दिखाई देने लगता है, बल्कि हमारे अपने समाज और परिवेश के सत्य की- हमारे मध्यवर्गीय जीवनानुभव के दुरतिक्राम्य तथ्यों की भी गूँज उनमें सुनाई देने लगती है। बाँझ दुख की यह सत्ता, अकेली आकृतियों का यह जीवन-मरण हमें तब न विजातीय लगता है, न व्यक्तिवादी पलायन, न कलावादी जीवनद्रोह। -रमेशचंद्र शाह",,,,,,,,,,,220,,,,,395 ,Hindi,,,,,,9789387155688,0,3.500000,,Unread,,,,,,,,0,,,,2020/07/16 15:36:14.592964053,,,,,,,9gvhDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/C7A7D289-CED7-40F5-8A9E-3BD7ED2343E9,,bookbuddy
Beech Bahas Mein,,,,,Nirmal Verma,"Verma, Nirmal",,,,,,Vani Prakashan,,2020/05/03,2020,,,,Literary Criticism,"निर्मल वर्मा की करुणा आत्मदया नहीं है, यह एक समझदार और वयस्क करुणा है। यह करुणा जीवन में विसंगतियों को देखती है और उन्हें समझती है, गोकि कुछ करती नहीं। निर्मल वर्मा की कहानियों के पात्र एक-दूसरे को भीतर से समझते हैं, इसलिए उनमें आपस में कोई विरोध या संघर्ष नहीं है, वे एक-दूसरे को काटते नहीं, एक-दूसरे के अस्तित्व की प्रतिज्ञाओं को तोड़ते नहीं। एक अर्थ में वे यथास्थितिवादी हैं। वे अपने केन्द्र पर अपनी अनुभूति की पूरी सजीवता से डोलते हुए सिर्फ स्थिर रहना चाहते हैं, न अपने आपको, न अपने परिवेश को और न इन दोनों के सम्बन्ध को ही बदलना चाहते हैं। -मलयज बीच बहस में एक मौत हुई थी। लगा था कि दिवंगत के साथ ही उसके साथ होने वाली बहस भी समाप्त हो गयी। पर बहस समाप्त हुई नहीं। हो भी कैसे? बहस केवल उससे तो थी नहीं, जो चला गया। वह तो अपने आप से है, उनसे है जो बच रहे हैं। और जो मौत भी हुई है, वह कोई टोटल, सम्पूर्ण मौत तो है नहीं। क्यों कोई मौत टोटल होती है? -सुधीर चंद्र",,,,,,,,,,,128,,,,,375 ,Hindi,,,,,,9789387155664,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:37:09.542976021,,,,,,,rgvhDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F0F89378-C29A-47BC-B81E-1608EFCA2E98,,bookbuddy
Ratn-Kangan Tatha Anya Kahaniyan,,,,, Aleksander Kuprin / Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,2010,,,,,A collection of short stories by A.I. Kuprin.,,,,,,,,,,,293,,,,, 150.00,Hindi,,,,,,9789350001592,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:38:00.466560959,,,,,,,m-_7azvijRgC,Hindi,0,0,,,,bookbuddy
Pūjā ke phūla,,,,,Mālatī Jośī,"Jośī, Mālatī",,,,,,Manu Prakāśana,,,2005,,,,,,,,,,,,,,,,160,,,,, 100.00,,,,,,,9788186265062,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:39:04.221573948,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/4061DBCE-1C36-4187-B50F-FE39227464C5,,bookbuddy
Suraj Gagrai,,,,,Mahashweta Devi,"Devi, Mahashweta",,,,,,Vani Prakashan,,,2012,,,,Comics & Graphic Novels,Novel based on the life of tribes in Bihar.,,,,,,,,,,,136,,,,,250 ,Hindi,,,,,,9789350009727,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:42:38.602875947,,,,,,,-QBDDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/B5B79DB9-19A6-480D-BB3E-7544CC10183C,,bookbuddy
Pūjā ke phūla,,,,,Mālatī Jośī,"Jośī, Mālatī",,,,,,Manu Prakāśana,,,2005,,,,,,,,,,,,,,,,160,,,,, 100.00,,,,,,,9788186265062,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:48:11.368284940,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/25EC414A-4DA0-4B15-9537-120EED49E9A2,,bookbuddy
Kaun Thagwa Nagariyal Lootal Ho,,,,,Malti Joshi,"Joshi, Malti",,,,,,Vani Prakashan,,2019/11/22,2019,,,,Juvenile Fiction,"कथा साहित्य जगत में मालती जोशी का नाम किसी परिचय का मोहताज नहीं है। देश और विदेश में फैले लाखों प्रशंसक मालती जी की कहानियों का न सिर्फ़ आस्वाद ग्रहण करते हैं बल्कि उन कहानियों के साथ अपनी ज़िन्दगी का ताना-बाना भी बुनते हैं। एकदम घरेलू और सहज होने के बाद भी मालती जी की कहानियाँ बहुत बड़ा सामाजिक सन्देश देती हैं। ये कहानियाँ संस्कारों का भण्डार हैं और परम्पराओं की ध्वजवाहक हैं। भारतीय परम्परा और संस्कृति का संरक्षण अथवा नारी स्वतन्त्रता जैसे नारों का प्रयोग किये बिना मालती जी की कहानियाँ साहित्य, भारतीय पारिवारिक परम्परा, संस्कार एवं मातृशक्ति के सम्मान का अनूठा दर्शन कराती हैं। भारतीय कुटुम्ब की अवधारणा का सही सन्देश मालती जी की कहानियों में दृष्टिगोचर होता है। इसलिए मालती जी की कहानियाँ अवसरजन्य नहीं हैं। वे हर समय, कालखण्ड और स्थान के लिए प्रासंगिक हैं। विगत छह दशकों से भी अधिक समय से लेखन कर रहीं मालती जोशी के प्रशंसकों में निरन्तर वृद्धि ही हुई है।",,,,,,,,,,,128,,,,,299 ,Hindi,,,,,,9789389563160,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:50:00.440227031,,,,,,,Qca_DwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F1EA83AD-4865-46E0-8DD1-0FB8583F4ECD,,bookbuddy
Ek Maheena Nazmon Ka,,,,,Irshad Kamil,"Kamil, Irshad",,,,,,Vani Prakashan,,2015/05/01,2015,,,,,,,,,,,,,,,,217,,,,,395 ,Hindi,,,,,,9789350729212,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:51:46.278224945,,,,,,,jI_WDgAAQBAJ,Hindi,0,0,,,,bookbuddy
Ek Maheena Nazmon Ka,,,,,Irshad Kamil,"Kamil, Irshad",,,,,,Vani Prakashan,,2015/05/01,2015,,,,,,,,,,,,,,,,217,,,,,395 ,Hindi,,,,,,9789350729212,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 14:49:55.941663026,,,,,,,jI_WDgAAQBAJ,Hindi,0,0,,,,bookbuddy
Nāṭya ke aksharabīja,,,,,Kunwarj Agrawal,"Agrawal, Kunwarj",,,,,,Vāṇī Prakāśana,,,2013,,,,,"Critical study on the drama by Kum̐varajī Agravāla, 1933, dramanist; with special reference Hindi play and their theatertical aspects.",,,,,,,,,,,284,,,,, 495.00,Hindi,,,,,,9789350724040,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 14:56:23.088438987,,,,,,,QN4FmwEACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/E22CAACA-B134-4B07-BB1D-C7FA172B5E16,,bookbuddy
Nāṭya ke aksharabīja,,,Kunwarji Agrawal,,Kunwarj Agrawal,"Agrawal, Kunwarj",,,,,,Vāṇī Prakāśana,,,2013,,,,,"Critical study on the drama by Kum̐varajī Agravāla, 1933, dramanist; with special reference Hindi play and their theatertical aspects.",,,,,,,,,,,284,,,,, 495.00,Hindi,,,,,,9789350724040,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 14:59:56.683037996,,,,,,,QN4FmwEACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/FDACDF37-D046-4959-BB40-1086332152A9,,bookbuddy
Nāṭya ke aksharabīja,,,,,Kunwarj Agrawal,"Agrawal, Kunwarj",,,,,,Vāṇī Prakāśana,,,2013,,,,,"Critical study on the drama by Kum̐varajī Agravāla, 1933, dramanist; with special reference Hindi play and their theatertical aspects.",,,,,,,,,,,284,,,,, 495.00,Hindi,,,,,,9789350724040,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:01:47.161512017,,,,,,,QN4FmwEACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/9989684E-EFEE-4536-A019-6ADC950DF2FC,,bookbuddy
Ruk̲h̲asata karo mujhe,,,,,Munavvar Rānā,"Rānā, Munavvar",,,,,,,,,,,,,,,,,,,,,,,,,196,,,,, 200.00,,,,,,,9789387409088,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:10:14.373096942,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9387409082.01Z.jpg,,bookbuddy
Bin Jiya Jeevan,,,,,Kuldeep Kumar,"Kumar, Kuldeep",,,,,,Vani Prakashan,,2019/11/23,2019,,,,Juvenile Fiction,"""कुलदीप कुमार के संग्रह बिन जिया जीवन की एक बड़ी खूबी यही है कि इसमें, इसकी कविता में, रोजमर्रा के जीवन-अनुभवों को, सम्बन्धों को शिद्दत से उकेरा गया है।...याद नहीं पड़ता कि किसी कवि ने हिन्दी में 'मिलने-बिछुड़ने' को इतनी तरह के जीवन-प्रसंगों में व्यक्त किया हो।... ये 'मिलने-बिछुड़ने' की अपूर्व कविताएँ तो हैं ही पर इनकी रेंज बहुत बड़ी है।...इनमें एक ओर 'सामयिक' जीवन है। ‘अपने समय' का, उसकी चिन्ताओं का, गहरा बोध भी है। साथ ही, ऐतिहासिक-पौराणिक पात्रों के प्रसंग से भी मानवीय सम्बन्धों और मर्मों की जाँच-परख है एक कवि की तरह।"" -प्रयाग शुक्ल, आउटलुक हिन्दी / “एक अच्छा कवि कभी अपनी वेध्यता (वलनरेबिलिटी) को छुपाता नहीं, उस पर शर्मिन्दा नहीं होता, बल्कि उसे अपनी जगह लेने देता है। कुलदीप युवावस्था से लेकर अब तक की कविताओं में कहीं भी व्यक्ति की इमोशनल इनसिक्योरिटी और उसकी ज़िन्दगी में उसकी भूमिका को बढ़ाकर या घटाकर पेश नहीं करते। उनके काव्य-विवेक की यही खूबी है।"" -असद जैदी, समयान्तर",,,,,,,,,,,140,,,,, 199.00,Hindi,,,,,,9789389012774,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:12:17.281178951,,,,,,,b8a_DwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/8A422D40-7E94-4854-9989-E553910E496C,,bookbuddy
Bin Jiya Jeevan,,,,,Kuldeep Kumar,"Kumar, Kuldeep",,,,,,Vani Prakashan,,2019/11/23,2019,,,,Juvenile Fiction,"""कुलदीप कुमार के संग्रह बिन जिया जीवन की एक बड़ी खूबी यही है कि इसमें, इसकी कविता में, रोजमर्रा के जीवन-अनुभवों को, सम्बन्धों को शिद्दत से उकेरा गया है।...याद नहीं पड़ता कि किसी कवि ने हिन्दी में 'मिलने-बिछुड़ने' को इतनी तरह के जीवन-प्रसंगों में व्यक्त किया हो।... ये 'मिलने-बिछुड़ने' की अपूर्व कविताएँ तो हैं ही पर इनकी रेंज बहुत बड़ी है।...इनमें एक ओर 'सामयिक' जीवन है। ‘अपने समय' का, उसकी चिन्ताओं का, गहरा बोध भी है। साथ ही, ऐतिहासिक-पौराणिक पात्रों के प्रसंग से भी मानवीय सम्बन्धों और मर्मों की जाँच-परख है एक कवि की तरह।"" -प्रयाग शुक्ल, आउटलुक हिन्दी / “एक अच्छा कवि कभी अपनी वेध्यता (वलनरेबिलिटी) को छुपाता नहीं, उस पर शर्मिन्दा नहीं होता, बल्कि उसे अपनी जगह लेने देता है। कुलदीप युवावस्था से लेकर अब तक की कविताओं में कहीं भी व्यक्ति की इमोशनल इनसिक्योरिटी और उसकी ज़िन्दगी में उसकी भूमिका को बढ़ाकर या घटाकर पेश नहीं करते। उनके काव्य-विवेक की यही खूबी है।"" -असद जैदी, समयान्तर",,,,,,,,,,,140,,,,, 199.00,Hindi,,,,,,9789389012774,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:14:02.442199945,,,,,,,b8a_DwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/B22D27E0-E6AC-46F7-9FA9-F6B7366D9E1B,,bookbuddy
Pratinidhi kahāniyām̐,,,,,Rājindar Singh Bedī,"Bedī, Rājindar Singh",,,,,,,,,,,,,,,,,,,,,,,,,142,,,,, 150.00,,,,,,,9788126703296,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:14:49.705135941,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126703296.01Z.jpg,,bookbuddy
Hazāroṃ hasarateṃ vo haiṃ,,,,,1831-1905 Dāg̲h̲ Dihlavī,"Dāg̲h̲ Dihlavī, 1831-1905",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,195,,,,, 395.00,,,,,,,9789350721605,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:18:15.259094953,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350721600.01Z.jpg,,bookbuddy
Bhagat Singh Shaheed,,"tīna nāṭaka, Bhāgyavān potā, Inqalābī putra, nāstika śahīda",,,"Caranadāsa Siddhū, Charan Dass Sidhu","Siddhū, Caranadāsa",,,,,,Vani Prakashan,,,1998,,,,Drama,"Based on the life of Bhagat Singh, 1901-1931, revolutionary and freedom fighter.",,,,,,,,,,,168,,,,, 295.00,Hindi,,,PK2098.39.I34 B47 1998,99933166,,9788170556008,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:18:49.159826040,,,,,,,00f8pDc75KYC,Hindi,0,0,,,,bookbuddy
मेरी प्रिय कहानियाँ,,,,,रवींद्र कालिया,"कालिया, रवींद्र",,,,,,Rājapāla,,,2017,,,,,Selected stories of a Hindi author.,,,,,,,,,,,139,,,,, 150.00,Hindi,,,,,,9789350643044,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:21:12.803186058,,,,,,,yz_DswEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350643049.01Z.jpg,,bookbuddy
Bhavishya Ko Garhta Ek Dashak : Grameen Ilaqon Mein Shiksha Aur Doosra Dashak,,,,,Denzil Saldanha,"Saldanha, Denzil",,,,,,Sara Dorābajī Ṭāṭā Ṭrasṭa,,,2007,,,,,"Study on Doosra Dashak, a project for the holistic education of adolescents in the various places of Rajasthan, India.",,,,,,,,,,,182,,,,, 120.00,Hindi,,,,,,9788189303051,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:38:52.454444050,,,,,,,kqPiPgAACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/AD43D619-208D-4F07-B9D0-F42886B7F60F,,
